dbname,namespace,table_name,encoded,diststyle,sortkey1,max_varchar,sortkey1_enc,sortkey_num,unsorted,stats_off,tbl_rows,skew_rows,estimated_visible_rows,num_rows_marked_for_deletion,pct_rows_marked_for_deletion,vacuum_sort_benefit,vacuum_run_type,is_last_vacuum_recluster,last_vacuumed_date,days_since_last_vacuumed,query_count,table_recommendation_count,encoded_column_count,column_count,encoded_column_pct,encoded_sortkey_count,distkey_column_count,large_column_size_count,sort_key_alert_sample_query,sort_key_alert_query_count,stats_alert_sample_query,stats_alert_query_count,nl_alert_sample_query,nl_alert_query_count,distributed_alert_sample_query,distributed_alert_query_count,distributed_alert_sample_query,broadcasted_alert_query_count,deleted_alert_sample_query,deleted_alert_query_count
dw,fact,image_cut_daily,"Y, AUTO(ENCODE)",KEY(image_id),cut_date,0,none,1,0.76,9.49,1022551667,1.00,1012787200,9764467,0.0095,0.00,Automatic,N,2025-03-05,1,243,0,23,25,92.0000,0,1,0,703382791,50,,0,,0,702126822,5,,0,,0
dw,stage,mltv_user_date_timeline,"Y, AUTO(ENCODE)",AUTO(EVEN),AUTO(SORTKEY),0,,0,,0.00,984576819,,984576832,0,0.0000,,,,,,1,0,2,2,100.0000,0,0,0,,0,,0,,0,,0,,0,,0
dw,analytics,project_cut_session_windows,"Y, AUTO(ENCODE)",AUTO(EVEN),AUTO(SORTKEY),32,,0,,0.00,982011750,,982011776,0,0.0000,,,,,,0,0,0,4,0.0000,0,0,0,,0,,0,,0,,0,,0,,0
dw,analytics,project_search_events_backfill,"Y, AUTO(ENCODE)",KEY(user_id),date_id,65535,none,1,0.00,0.00,970049990,1.01,970049984,6,0.0000,0.00,,,,,1,0,37,38,97.3684,0,1,30,,0,,0,,0,,0,,0,,0
dw,public,tbl_temp_distinct_cuts,"Y, AUTO(ENCODE)",AUTO(KEY(project_id)),cut_date,65535,none,1,0.00,0.00,922395174,2.51,922395200,0,0.0000,0.00,,,,,7,0,8,12,66.6666,0,1,1,,0,,0,,0,,0,,0,,0
dw,fact,image_search_events_with_conversion,Y,KEY(user_id),event_date_id,2048,none,2,0.00,0.00,905687103,1.01,905687616,0,0.0000,0.00,,,,,134,0,62,65,95.3846,0,1,8,,0,,0,,0,,0,,0,,0
dw,analytics,project_session_daily_metrics_may29_tbd,Y,KEY(user_id),event_date_id,12297,none,2,4.88,0.00,893251128,1.01,893251008,120,0.0000,0.00,Manual,Y,2025-02-28,6,135,0,31,36,86.1111,0,1,1,,0,,0,,0,,0,,0,,0
dw,stage,mltv_c_user_date_timeline,"Y, AUTO(ENCODE)",AUTO(EVEN),AUTO(SORTKEY),0,,0,,0.00,887819316,,887819328,0,0.0000,,,,,,4,0,2,2,100.0000,0,0,0,699680307,2,,0,,0,699680923,1,,0,,0
dw,stage,mltv_c_serial_user_months_since_registration,"Y, AUTO(ENCODE)",AUTO(KEY(user_id)),AUTO(SORTKEY),500,,0,,0.00,814973932,1.02,814973952,0,0.0000,,,,,,5,0,4,4,100.0000,0,1,0,699680115,3,,0,,0,,0,,0,,0
dw,analytics,pillar4_discovery_project_metrics,Y,KEY(user_id),event_date_id,10,az64,2,7.82,53.14,812966343,1.01,812966784,0,0.0000,0.00,Automatic,N,2025-03-06,0,170,0,24,25,96.0000,1,1,0,703221639,7,,0,,0,,0,,0,,0
