dbname,table_name,alert_seconds,alert_rowcount,alert_event,alert_solution,alert_sample_query,alert_querycount
prd_statsig,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@7509501@80823173@,220.62418800,132598170,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1581260,4
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@7766066@81334900@,212.85139500,4835737,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1626770,1
prd_dw,tbl_transform_engagement_daily_summary_v2,211.46326500,5684560,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1880159,35
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@29496309@81334900@,208.56170600,26695,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1880621,6
prd_statsig,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@7509501@80823173@,206.99570800,18380815,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1597429,43
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@7507106@81334900@,204.11110000,233136434,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1855210,12
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@6849701@80823173@,199.52381300,39228076,Broadcasted a large number of rows across the network,Review the choice of distribution key to collocate the join and consider using distributed tables,1568658,2
prd_statsig,distinct_values_q1_2025_global_holdout_5427iyljdiikpvnukghnm7_1__00_1,198.15291000,46163701,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1741262,1
prd_statsig,windowed_metrics_ia_single_cta_pdp_non_incremental,188.20660500,30685802,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1871657,11
prd_statsig,ratio_cuped_staging_projects_search_hybrid_semantic_cumulative,186.33220600,5996418,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1862382,45
